Issue Key,Issue Type,Status,Resolved,Has '变更' Label,Team Parent,Team Child,Created
CVMAS-126515,测试QA工作任务,开发测试执行中,False,False,C端平台,移动销售购车,2025-04-21T10:41:39.000+0800
CVMAS-126514,BA工作任务,开发测试执行中,False,False,C端平台,移动销售购车,2025-04-21T10:40:38.000+0800
CVMAS-126503,故事,To Do 待办,False,False,C端平台,移动基础&商城,2025-04-21T10:31:15.000+0800
CVMAS-126502,故事,To Do 待办,False,False,C端平台,移动基础&商城,2025-04-21T10:26:58.000+0800
CVMAS-126501,故事,To Do 待办,False,False,C端平台,移动基础&商城,2025-04-21T10:24:18.000+0800
CVMAS-126499,故事,Funnel 需求漏斗,False,False,C端平台,移动基础&商城,2025-04-21T10:17:39.000+0800
CVMAS-126496,故事,Funnel 需求漏斗,False,False,C端平台,移动活动&用户运营团队,2025-04-21T10:10:25.000+0800
CVMAS-126493,技术需求Enabler,To Do 待办,False,False,C端平台,移动用户运营,2025-04-21T09:39:04.000+0800
CVMAS-126492,运维任务,To Do 待办,False,False,C端平台,移动基础&商城,2025-04-21T09:38:44.000+0800
CVMAS-126491,任务,开发测试执行中,False,False,C端平台,移动用户运营,2025-04-21T09:21:56.000+0800
CVMAS-126478,测试QA工作任务,任务完成 Done,True,False,C端平台,移动充电售后,2025-04-19T15:21:14.000+0800
CVMAS-126477,测试QA工作任务,任务完成 Done,True,False,C端平台,移动充电售后,2025-04-19T15:20:49.000+0800
CVMAS-126476,故事,Funnel 需求漏斗,False,False,C端平台,移动活动,2025-04-19T14:55:58.000+0800
CVMAS-126475,故事,To Do 待办,False,False,C端平台,移动活动&用户运营团队,2025-04-19T14:45:27.000+0800
CVMAS-126402,故事,开发测试执行中,False,False,C端平台,移动销售购车,2025-04-18T21:29:10.000+0800
CVMAS-126367,故事,Funnel 需求漏斗,False,False,C端平台,移动活动,2025-04-18T17:04:48.000+0800
CVMAS-126362,技术需求Enabler,开发测试执行中,False,False,C端平台,移动用户运营,2025-04-18T16:43:06.000+0800
CVMAS-126351,故事,Funnel 需求漏斗,False,False,C端平台,移动活动,2025-04-18T16:12:29.000+0800
CVMAS-126346,故事,Waiting for test 待测试,False,False,C端中台,用户运营,2025-04-18T14:58:35.000+0800
CVMAS-126334,故事,Funnel 需求漏斗,False,False,C端平台,移动活动&用户运营团队,2025-04-18T14:35:28.000+0800
CVMAS-126304,BA工作任务,To Do 待办,False,False,C端平台,移动用户运营,2025-04-18T11:31:29.000+0800
CVMAS-126303,BA工作任务,To Do 待办,False,False,C端平台,移动用户运营,2025-04-18T11:30:58.000+0800
CVMAS-126302,BA工作任务,To Do 待办,False,False,C端平台,移动用户运营,2025-04-18T11:30:32.000+0800
CVMAS-126289,故事,开发测试执行中,False,False,C端平台,移动活动&用户运营团队,2025-04-18T10:06:21.000+0800
CVMAS-126287,故事,开发测试执行中,False,False,C端平台,移动活动&用户运营团队,2025-04-18T10:00:11.000+0800
CVMAS-126264,测试QA工作任务,开发测试执行中,False,False,C端平台,移动基础&商城,2025-04-17T17:30:13.000+0800
CVMAS-126234,故事,To Do 待办,False,False,C端平台,移动销售购车,2025-04-17T15:14:36.000+0800
CVMAS-126230,技术需求Enabler,Waiting for test 待测试,False,False,C端平台,移动销售购车,2025-04-17T14:26:09.000+0800
CVMAS-126228,故事,Story SIT测试完成,True,False,C端平台,移动充电售后,2025-04-17T14:23:01.000+0800
CVMAS-126227,技术需求Enabler,Waiting for test 待测试,False,False,C端平台,移动基础&商城,2025-04-17T14:16:26.000+0800
CVMAS-126226,故事,Waiting for test 待测试,False,False,C端平台,移动销售购车,2025-04-17T14:10:47.000+0800
CVMAS-126100,故事,开发测试执行中,False,False,C端平台,移动销售购车,2025-04-17T11:26:21.000+0800
CVMAS-126099,技术需求Enabler,Dev Complete 开发完成,False,False,C端平台,移动充电售后,2025-04-17T11:23:13.000+0800
CVMAS-126056,故事,开发测试执行中,False,False,C端平台,移动活动,2025-04-16T19:01:51.000+0800
CVMAS-126050,故事,Funnel 需求漏斗,False,False,C端平台,移动活动,2025-04-16T17:31:33.000+0800
CVMAS-125678,故事,Funnel 需求漏斗,False,False,C端平台,移动充电售后,2025-04-16T11:42:56.000+0800
CVMAS-125656,故事,Funnel 需求漏斗,False,False,C端平台,移动基础&商城,2025-04-15T20:49:16.000+0800
CVMAS-125654,故事,Funnel 需求漏斗,False,False,C端平台,移动基础&商城,2025-04-15T20:48:24.000+0800
CVMAS-125652,故事,开发测试执行中,False,False,C端平台,移动基础&商城,2025-04-15T20:47:04.000+0800
CVMAS-125651,故事,Funnel 需求漏斗,False,False,C端平台,移动基础&商城,2025-04-15T20:22:23.000+0800
CVMAS-125640,故事,开发测试执行中,False,False,C端平台,移动基础&商城,2025-04-15T18:58:08.000+0800
CVMAS-125465,故事,Story SIT测试完成,True,False,C端平台,移动充电售后,2025-04-15T16:19:38.000+0800
CVMAS-125291,测试QA工作任务,To Do 待办,False,False,C端平台,移动充电售后,2025-04-15T10:17:37.000+0800
CVMAS-125161,故事,To Do 待办,False,False,C端平台,移动活动&用户运营团队,2025-04-14T17:22:39.000+0800
CVMAS-125128,故事,Funnel 需求漏斗,False,False,C端平台,移动活动,2025-04-14T14:29:10.000+0800
CVMAS-125116,故事,开发测试执行中,False,False,C端平台,移动基础&商城,2025-04-14T10:26:11.000+0800
CVMAS-124803,故事,Funnel 需求漏斗,False,False,C端平台,移动活动&用户运营团队,2025-04-11T18:04:50.000+0800
CVMAS-124802,测试QA工作任务,开发测试执行中,False,False,C端平台,移动充电售后,2025-04-11T17:59:17.000+0800
CVMAS-124801,测试QA工作任务,开发测试执行中,False,False,C端平台,移动充电售后,2025-04-11T17:57:53.000+0800
CVMAS-124793,故事,开发测试执行中,False,False,C端平台,移动充电售后,2025-04-11T16:32:06.000+0800
CVMAS-124779,故事,Waiting for test 待测试,False,False,C端平台,移动充电售后,2025-04-11T15:15:08.000+0800
CVMAS-124433,故事,Waiting for test 待测试,False,False,C端平台,移动充电售后,2025-04-10T16:27:29.000+0800
CVMAS-124432,技术需求Enabler,Waiting for test 待测试,False,False,C端平台,移动充电售后,2025-04-10T16:05:24.000+0800
CVMAS-124431,故事,Funnel 需求漏斗,False,False,C端平台,移动活动,2025-04-10T14:58:03.000+0800
CVMAS-124429,故事,Funnel 需求漏斗,False,False,C端平台,移动活动,2025-04-10T14:57:10.000+0800
CVMAS-124428,故事,Funnel 需求漏斗,False,False,C端平台,移动活动,2025-04-10T14:56:10.000+0800
CVMAS-124427,故事,Funnel 需求漏斗,False,False,C端平台,移动活动,2025-04-10T14:55:19.000+0800
CVMAS-124426,故事,开发测试执行中,False,False,C端平台,移动销售购车,2025-04-10T14:53:39.000+0800
CVMAS-124425,故事,Funnel 需求漏斗,False,False,C端平台,移动活动,2025-04-10T14:53:09.000+0800
CVMAS-124424,故事,Funnel 需求漏斗,False,False,C端平台,移动活动,2025-04-10T14:51:57.000+0800
CVMAS-124411,故事,开发测试执行中,False,False,C端平台,移动销售购车,2025-04-10T14:20:44.000+0800
CVMAS-124296,故事,Funnel 需求漏斗,False,False,C端平台,移动基础&商城,2025-04-10T09:43:58.000+0800
CVMAS-124295,故事,Funnel 需求漏斗,False,False,C端平台,移动基础&商城,2025-04-10T09:43:38.000+0800
CVMAS-124289,故事,To Do 待办,False,False,C端平台,移动基础&商城,2025-04-09T20:37:59.000+0800
CVMAS-124270,故事,Funnel 需求漏斗,False,False,C端平台,移动活动,2025-04-09T17:15:03.000+0800
CVMAS-124268,故事,Funnel 需求漏斗,False,False,C端平台,移动活动,2025-04-09T17:12:55.000+0800
CVMAS-124267,故事,Funnel 需求漏斗,False,False,C端平台,移动活动,2025-04-09T17:11:54.000+0800
CVMAS-124266,故事,Funnel 需求漏斗,False,False,C端平台,移动活动,2025-04-09T17:09:24.000+0800
CVMAS-124265,故事,Funnel 需求漏斗,False,False,C端平台,移动活动,2025-04-09T17:04:07.000+0800
CVMAS-124255,故事,To Do 待办,False,False,C端平台,移动销售购车,2025-04-09T14:27:51.000+0800
CVMAS-124222,故事,To Do 待办,False,False,C端平台,移动活动&用户运营团队,2025-04-08T16:40:27.000+0800
CVMAS-124214,故事,Funnel 需求漏斗,False,False,C端平台,移动充电售后,2025-04-08T15:31:27.000+0800
CVMAS-124200,故事,Funnel 需求漏斗,False,False,C端平台,移动充电售后,2025-04-08T14:12:07.000+0800
CVMAS-124199,故事,Funnel 需求漏斗,False,False,C端平台,移动充电售后,2025-04-08T14:10:39.000+0800
CVMAS-124197,故事,Waiting for test 待测试,False,False,C端平台,移动充电售后,2025-04-08T14:06:49.000+0800
CVMAS-124184,故事,Funnel 需求漏斗,False,False,C端平台,移动活动&用户运营团队,2025-04-08T10:16:21.000+0800
CVMAS-124011,故事,Funnel 需求漏斗,False,False,C端平台,移动活动,2025-04-07T16:29:28.000+0800
CVMAS-123985,故事,Testing 测试执行中,False,False,C端平台,移动销售购车,2025-04-07T11:31:12.000+0800
CVMAS-123982,故事,Testing 测试执行中,False,False,C端平台,移动销售购车,2025-04-07T11:26:58.000+0800
CVMAS-123865,测试QA工作任务,To Do 待办,False,False,C端平台,移动活动,2025-04-03T14:24:38.000+0800
CVMAS-123845,故事,Funnel 需求漏斗,False,False,C端平台,移动活动&用户运营团队,2025-04-03T11:45:52.000+0800
CVMAS-123844,故事,Funnel 需求漏斗,False,False,C端平台,移动活动&用户运营团队,2025-04-03T11:44:27.000+0800
CVMAS-123842,故事,Funnel 需求漏斗,False,False,C端平台,移动活动&用户运营团队,2025-04-03T11:39:30.000+0800
CVMAS-123833,测试QA工作任务,To Do 待办,False,False,C端平台,移动活动,2025-04-03T11:20:59.000+0800
CVMAS-123832,测试QA工作任务,任务完成 Done,True,False,C端平台,移动活动,2025-04-03T11:20:39.000+0800
CVMAS-123739,故事,To Do 待办,False,False,C端平台,移动销售购车,2025-04-02T17:00:45.000+0800
CVMAS-123611,故事,Funnel 需求漏斗,False,False,C端平台,移动充电售后,2025-04-01T17:28:58.000+0800
CVMAS-123608,故事,Funnel 需求漏斗,False,False,C端平台,移动充电售后,2025-04-01T17:22:58.000+0800
CVMAS-123517,故事,Funnel 需求漏斗,False,False,C端平台,移动活动,2025-04-01T11:03:35.000+0800
CVMAS-123501,测试QA工作任务,To Do 待办,False,False,C端平台,移动基础&商城,2025-04-01T10:17:23.000+0800
CVMAS-123500,测试QA工作任务,开发测试执行中,False,False,C端平台,移动基础&商城,2025-04-01T10:17:07.000+0800
CVMAS-123292,故事,Funnel 需求漏斗,False,False,C端平台,移动活动,2025-03-27T19:34:52.000+0800
CVMAS-123291,故事,Funnel 需求漏斗,False,False,C端平台,移动活动,2025-03-27T19:27:57.000+0800
CVMAS-123290,故事,Funnel 需求漏斗,False,False,C端平台,移动活动,2025-03-27T19:19:16.000+0800
CVMAS-123286,故事,Funnel 需求漏斗,False,False,C端平台,移动活动,2025-03-27T19:13:53.000+0800
CVMAS-121947,技术需求Enabler,开发测试执行中,False,False,C端平台,移动销售购车,2025-03-21T14:11:50.000+0800
CVMAS-121946,技术需求Enabler,开发测试执行中,False,False,C端平台,移动销售购车,2025-03-21T14:10:53.000+0800
CVMAS-121180,故事,Funnel 需求漏斗,False,False,C端平台,移动充电售后,2025-03-13T16:19:34.000+0800
CVMAS-120665,故事,To Do 待办,False,False,C端平台,移动销售购车,2025-03-11T15:41:46.000+0800
CVMAS-119318,故事,Funnel 需求漏斗,False,False,C端平台,移动充电售后,2025-02-28T22:45:35.000+0800
CVMAS-115305,技术需求Enabler,To Do 待办,False,False,C端平台,移动销售购车,2025-01-22T13:59:55.000+0800
CVDTT-2765,任务,To Do,False,False,,,2025-04-22T17:37:53.000+0800
CVDTT-2764,任务,To Do,False,False,,,2025-04-22T14:35:42.000+0800
CVDTT-2763,故事,In Progress,False,False,,,2025-04-21T15:06:06.000+0800
CVDTT-2761,任务,To Do,False,False,,,2025-04-21T13:54:03.000+0800
CVDTT-2760,故事,To Do,False,False,,,2025-04-21T13:04:10.000+0800
CVDTT-2759,故事,In Progress,False,False,,,2025-04-17T15:56:12.000+0800
CVDTT-2758,故事,To Do,False,False,,,2025-04-17T15:47:20.000+0800
CVDTT-2756,任务,To Do,False,False,,,2025-04-17T14:06:13.000+0800
CVDTT-2754,任务,Done,False,False,,,2025-04-15T15:29:15.000+0800
CVDTT-2752,任务,In Progress,False,False,,,2025-04-15T11:03:02.000+0800
CVDTT-2750,任务,To Do,False,False,,,2025-04-14T13:31:06.000+0800
CVDTT-2748,故事,To Do,False,False,,,2025-04-11T18:23:14.000+0800
CVDTT-2747,故事,To Do,False,False,,,2025-04-11T18:09:00.000+0800
CVDTT-2746,故事,To Do,False,False,,,2025-04-11T18:08:18.000+0800
CVDTT-2745,任务,In Progress,False,False,,,2025-04-11T11:27:09.000+0800
CVDTT-2742,任务,To Do,False,False,,,2025-04-09T18:19:32.000+0800
CVDTT-2739,任务,To Do,False,False,,,2025-04-09T17:05:04.000+0800
CVDTT-2738,任务,Done,False,False,,,2025-04-09T16:57:55.000+0800
CVDTT-2737,任务,To Do,False,False,,,2025-04-09T14:26:25.000+0800
CVDTT-2736,故事,To Do,False,False,,,2025-04-09T10:55:30.000+0800
CVDTT-2735,任务,To Do,False,False,,,2025-04-08T17:28:27.000+0800
CVDTT-2734,故事,To Do,False,False,,,2025-04-07T21:43:14.000+0800
CVDTT-2731,任务,待测试,False,False,,,2025-04-07T15:33:38.000+0800
CVDTT-2730,任务,待测试,False,False,,,2025-04-07T15:32:43.000+0800
CVDTT-2728,任务,待测试,False,False,,,2025-04-07T10:29:24.000+0800
CVDTT-2726,任务,In Progress,False,False,,,2025-04-03T19:28:27.000+0800
CVDTT-2725,任务,To Do,False,False,,,2025-04-03T15:43:38.000+0800
CVDTT-2723,任务,To Do,False,False,,,2025-04-02T12:22:35.000+0800
CVDTT-2718,任务,验收中,False,False,,,2025-03-27T17:22:37.000+0800
CVDTT-2715,任务,To Do,False,False,,,2025-03-26T17:42:02.000+0800
CVDTT-2714,故事,To Do,False,False,,,2025-03-25T19:14:34.000+0800
CVDTT-2712,故事,To Do,False,False,,,2025-03-25T10:58:43.000+0800
CVDTT-2711,故事,To Do,False,False,,,2025-03-25T10:20:48.000+0800
CVDTT-2698,任务,To Do,False,False,,,2025-03-17T11:31:30.000+0800
CVDTT-2695,任务,In Progress,False,False,,,2025-03-12T14:09:28.000+0800
CVDTT-2692,故事,To Do,False,False,,,2025-03-11T15:29:46.000+0800
CVDTT-2690,故事,To Do,False,False,,,2025-03-11T12:32:45.000+0800
CVDTT-2689,任务,In Progress,False,False,,,2025-03-10T16:27:36.000+0800
CVDTT-2688,任务,In Progress,False,False,,,2025-03-10T14:57:08.000+0800
CVDTT-2687,任务,In Progress,False,False,,,2025-03-10T14:56:50.000+0800
CVDTT-2686,任务,In Progress,False,False,,,2025-03-10T14:55:08.000+0800
CVDTT-2683,故事,To Do,False,False,,,2025-03-07T20:42:56.000+0800
CVDTT-2682,故事,In Progress,False,False,,,2025-03-07T19:43:45.000+0800
CVDTT-2673,故事,To Do,False,False,,,2025-03-03T10:54:13.000+0800
CVDTT-2671,故事,To Do,False,False,,,2025-02-28T12:36:51.000+0800
CVDTT-2669,故事,To Do,False,False,,,2025-02-28T10:22:22.000+0800
CVDTT-2667,故事,In Progress,False,False,,,2025-02-27T17:37:29.000+0800
CVDTT-2661,故事,In Progress,False,False,,,2025-02-24T18:12:58.000+0800
CVDTT-2643,故事,To Do,False,False,,,2025-02-20T14:28:41.000+0800
CVDTT-2642,故事,In Progress,False,False,,,2025-02-20T11:13:08.000+0800
CVDTT-2641,任务,验收中,False,False,,,2025-02-19T23:23:02.000+0800
CVDTT-2633,故事,To Do,False,False,,,2025-02-17T18:55:09.000+0800
CVDTT-2625,故事,To Do,False,False,,,2025-02-14T12:33:21.000+0800
CVDTT-2624,故事,To Do,False,False,,,2025-02-14T12:30:55.000+0800
CVDTT-2621,故事,To Do,False,False,,,2025-02-12T10:29:01.000+0800
CVDTT-2620,故事,To Do,False,False,,,2025-02-11T21:45:32.000+0800
CVDTT-2619,故事,To Do,False,False,,,2025-02-11T18:31:31.000+0800
CVDTT-2618,故事,验收中,False,False,,,2025-02-11T17:56:33.000+0800
CVDTT-2607,故事,To Do,False,False,,,2025-02-10T10:22:11.000+0800
CVDTT-2591,故事,To Do,False,False,,,2025-02-05T11:23:04.000+0800
CVDTT-2588,故事,To Do,False,False,,,2025-01-26T15:46:22.000+0800
CVDTT-2587,故事,To Do,False,False,,,2025-01-26T15:45:56.000+0800
CVDTT-2586,故事,To Do,False,False,,,2025-01-26T15:45:22.000+0800
CVDTT-2584,故事,To Do,False,False,,,2025-01-23T17:57:41.000+0800
CVDTT-2581,故事,To Do,False,False,,,2025-01-23T17:40:22.000+0800
CVDTT-2571,故事,To Do,False,False,,,2025-01-16T16:09:11.000+0800
CVDTT-2562,故事,To Do,False,False,,,2025-01-15T14:42:46.000+0800
CVDTT-2561,故事,To Do,False,False,,,2025-01-15T14:40:54.000+0800
CVDTT-2558,任务,To Do,False,False,,,2025-01-13T18:57:32.000+0800
CVDTT-2557,故事,To Do,False,False,,,2025-01-13T18:09:52.000+0800
CVDTT-2549,故事,To Do,False,False,,,2025-01-13T11:36:54.000+0800
CVDTT-2541,故事,To Do,False,False,,,2025-01-09T17:31:25.000+0800
CVDTT-2540,故事,To Do,False,False,,,2025-01-09T17:29:15.000+0800
CVDTT-2538,故事,In Progress,False,False,,,2025-01-09T14:54:27.000+0800
CVDTT-2528,故事,To Do,False,False,,,2025-01-03T17:25:30.000+0800
CVDTT-2517,故事,阻塞,False,False,,,2024-12-31T13:57:55.000+0800
CVDTT-2515,故事,阻塞,False,False,,,2024-12-30T17:44:03.000+0800
CVDTT-2514,故事,To Do,False,False,,,2024-12-30T16:18:03.000+0800
CVDTT-2512,任务,待测试,False,False,,,2024-12-30T13:45:45.000+0800
CVDTT-2508,故事,To Do,False,False,,,2024-12-27T18:21:20.000+0800
CVDTT-2503,故事,To Do,False,False,,,2024-12-26T22:39:11.000+0800
CVDTT-2502,故事,To Do,False,False,,,2024-12-26T22:38:37.000+0800
CVDTT-2501,故事,To Do,False,False,,,2024-12-26T22:37:42.000+0800
CVDTT-2498,故事,To Do,False,False,,,2024-12-26T19:56:55.000+0800
CVDTT-2496,故事,To Do,False,False,,,2024-12-26T18:20:14.000+0800
CVDTT-2478,故事,To Do,False,False,,,2024-12-23T10:39:26.000+0800
CVDTT-2477,任务,无效工单,False,False,,,2024-12-20T21:59:33.000+0800
CVDTT-2465,任务,To Do,False,False,,,2024-12-19T15:37:29.000+0800
CVDTT-2461,故事,阻塞,False,False,,,2024-12-17T17:05:55.000+0800
CVDTT-2449,故事,阻塞,False,False,,,2024-12-16T12:31:10.000+0800
CVDTT-2448,任务,To Do,False,False,,,2024-12-13T18:08:10.000+0800
CVDTT-2447,任务,To Do,False,False,,,2024-12-13T18:07:58.000+0800
CVDTT-2446,任务,To Do,False,False,,,2024-12-13T18:07:37.000+0800
CVDTT-2445,任务,To Do,False,False,,,2024-12-13T18:07:20.000+0800
CVDTT-2440,故事,To Do,False,False,,,2024-12-13T18:05:48.000+0800
CVDTT-2431,任务,待测试,False,False,,,2024-12-13T15:39:26.000+0800
CVDTT-2420,任务,阻塞,False,False,,,2024-12-11T16:52:02.000+0800
CVDTT-2419,任务,阻塞,False,False,,,2024-12-11T16:51:25.000+0800
CVDTT-2389,任务,To Do,False,False,,,2024-12-06T10:42:22.000+0800
CVDTT-2388,任务,To Do,False,False,,,2024-12-05T22:55:22.000+0800
CVDTT-2370,故事,To Do,False,False,,,2024-12-03T13:57:10.000+0800
CVDTT-2350,故事,To Do,False,False,,,2024-11-28T15:05:55.000+0800
CVDTT-2325,故事,In Progress,False,False,,,2024-11-25T11:15:35.000+0800
CVDTT-2270,任务,无效工单,False,False,,,2024-11-18T14:27:51.000+0800
CVDTT-2053,故事,To Do,False,False,,,2024-10-18T17:45:50.000+0800
CVDTT-2052,故事,To Do,False,False,,,2024-10-18T17:45:28.000+0800
CVDTT-1677,任务,To Do,False,False,,,2024-08-27T17:55:40.000+0800
CVDTT-1632,故事,To Do,False,False,,,2024-08-20T18:51:16.000+0800
CVDTT-1621,故事,To Do,False,False,,,2024-08-20T18:42:11.000+0800
CVDTT-1619,故事,To Do,False,False,,,2024-08-20T18:36:55.000+0800
CVDTT-1426,任务,阻塞,False,False,,,2024-07-23T15:13:27.000+0800
CVDTT-1425,任务,阻塞,False,False,,,2024-07-23T15:11:59.000+0800
CVDG-28915,任务,任务完成 Done,True,False,大数据组,CDPMA,2025-04-22T16:06:45.000+0800
CVDG-28909,任务,To Do 待办,False,False,大数据组,CDPMA,2025-04-22T13:40:16.000+0800
CVDG-28657,故事,Story SIT测试完成,True,False,大数据组,CDPMA,2025-04-17T14:25:05.000+0800
CVDG-28656,BA工作任务,任务完成 Done,True,False,大数据组,CDPMA,2025-04-17T14:23:09.000+0800
CVDG-28654,任务,To Do 待办,False,False,大数据组,CDPMA,2025-04-17T14:18:42.000+0800
CVDG-28651,故事,开发测试执行中,False,False,大数据组,CDPMA,2025-04-17T14:01:48.000+0800
CVDG-28645,BA工作任务,任务完成 Done,True,False,大数据组,CDPMA,2025-04-17T13:54:13.000+0800
CVDG-28644,BA工作任务,任务完成 Done,True,False,大数据组,CDPMA,2025-04-17T13:52:41.000+0800
CVDG-28606,运维任务,To Do 待办,False,False,大数据组,CDPMA,2025-04-16T16:27:36.000+0800
CVDG-28316,任务,任务完成 Done,True,False,大数据组,CDPMA,2025-04-14T15:06:50.000+0800
CVDG-28241,运维任务,任务完成 Done,True,False,大数据组,CDPMA,2025-04-10T15:20:49.000+0800
CVDG-28119,运维任务,任务完成 Done,True,False,大数据组,CDPMA,2025-04-09T17:13:52.000+0800
CVDG-28105,任务,To Do 待办,False,False,大数据组,CDPMA,2025-04-09T15:53:26.000+0800
CVDG-28086,任务,任务完成 Done,True,False,大数据组,CDPMA,2025-04-09T14:44:21.000+0800
CVDG-28055,故事,To Do 待办,False,False,大数据组,CDPMA,2025-04-09T10:00:19.000+0800
CVDG-28054,BA工作任务,任务完成 Done,True,False,大数据组,CDPMA,2025-04-09T09:56:53.000+0800
CVDG-28053,BA工作任务,任务完成 Done,True,False,大数据组,CDPMA,2025-04-09T09:55:57.000+0800
CVDG-28052,BA工作任务,To Do 待办,False,False,大数据组,CDPMA,2025-04-09T09:52:33.000+0800
CVDG-28051,BA工作任务,To Do 待办,False,False,大数据组,CDPMA,2025-04-09T09:51:28.000+0800
CVDG-28050,任务,To Do 待办,False,False,大数据组,CDPMA,2025-04-09T09:49:50.000+0800
CVDG-27909,测试QA工作任务,To Do 待办,False,False,大数据组,CDPMA,2025-04-08T16:00:13.000+0800
CVDG-27908,故事,Story SIT测试完成,True,False,大数据组,CDPMA,2025-04-08T15:46:52.000+0800
CVDG-27902,故事,Story SIT测试完成,True,False,大数据组,CDPMA,2025-04-08T15:44:48.000+0800
CVDG-27896,BA工作任务,任务完成 Done,True,False,大数据组,CDPMA,2025-04-08T15:36:45.000+0800
CVDG-27894,BA工作任务,任务完成 Done,True,False,大数据组,CDPMA,2025-04-08T15:35:36.000+0800
CVDG-27890,任务,To Do 待办,False,False,大数据组,CDPMA,2025-04-08T15:26:22.000+0800
CVDG-27886,BA工作任务,To Do 待办,False,False,大数据组,CDPMA,2025-04-08T15:25:22.000+0800
CVDG-27884,测试QA工作任务,任务完成 Done,True,False,大数据组,CDPMA,2025-04-08T15:23:18.000+0800
CVDG-27883,故事,Story SIT测试完成,True,False,大数据组,CDPMA,2025-04-08T15:10:16.000+0800
CVDG-27882,故事,Story SIT测试完成,True,False,大数据组,CDPMA,2025-04-08T15:05:33.000+0800
CVDG-27876,任务,To Do 待办,False,False,大数据组,CDPMA,2025-04-07T15:13:48.000+0800
